Date,AAPL,MSFT,TSLA,SPY
2024-09-02,135.3,338.94,641.38,468.33
2024-09-03,136.0,337.14,643.44,466.72
2024-09-04,138.05,330.13,641.79,465.01
2024-09-05,138.12,326.36,624.99,460.83
2024-09-06,141.76,321.02,618.7,468.52
2024-09-09,141.14,329.73,583.22,467.12
2024-09-10,148.12,334.52,581.0,473.01
2024-09-11,149.82,341.11,561.21,480.45
2024-09-12,147.62,344.95,539.94,485.44
2024-09-13,144.9,339.21,543.1,483.46
2024-09-16,146.19,336.63,569.7,485.56
2024-09-17,145.66,339.22,587.88,485.57
2024-09-18,147.55,333.11,556.53,481.3
2024-09-19,148.83,336.81,537.55,483.0
2024-09-20,148.69,335.68,555.14,477.42
2024-09-23,146.53,333.88,536.34,483.3
2024-09-24,142.72,337.58,531.97,481.17
2024-09-25,141.64,339.96,541.99,482.28
2024-09-26,143.84,338.2,523.9,483.79
2024-09-27,144.43,344.28,525.6,482.65
2024-09-30,141.34,338.79,501.66,485.65
2024-10-01,141.82,342.06,491.12,483.46
2024-10-02,142.83,345.24,496.39,487.85
2024-10-03,140.67,343.72,469.55,481.41
2024-10-04,141.09,345.52,476.58,482.15
2024-10-07,141.28,339.14,476.06,491.79
2024-10-08,138.51,344.01,485.07,486.99
2024-10-09,139.43,343.15,488.65,483.8
2024-10-10,140.86,340.54,512.09,486.45
2024-10-11,143.62,346.08,514.11,487.46
2024-10-14,146.37,342.51,506.32,489.31
2024-10-15,142.9,335.39,508.26,491.86
2024-10-16,140.6,327.68,517.71,495.15
2024-10-17,141.93,330.79,518.38,500.85
2024-10-18,143.27,324.54,518.9,503.06
2024-10-21,144.62,333.36,506.23,501.97
2024-10-22,154.84,323.12,494.54,505.52
2024-10-23,156.46,331.61,470.89,515.43
2024-10-24,159.67,332.77,500.12,514.88
2024-10-25,162.43,332.37,478.83,509.99
2024-10-28,164.36,329.74,467.28,515.85
2024-10-29,163.5,331.83,455.61,515.36
2024-10-30,165.76,331.73,469.77,504.33
2024-10-31,163.57,337.41,464.81,508.79
2024-11-01,162.94,338.09,485.15,506.19
2024-11-04,161.6,338.95,473.77,505.86
2024-11-05,161.89,337.19,478.18,507.69
2024-11-06,168.69,337.0,464.35,508.8
2024-11-07,163.27,338.66,499.98,512.59
2024-11-08,165.32,330.11,479.63,510.48
2024-11-11,160.73,323.54,484.61,513.27
2024-11-12,159.45,327.29,495.17,512.06
2024-11-13,162.59,328.23,502.12,516.03
2024-11-14,162.83,327.41,498.7,519.38
2024-11-15,159.82,327.6,496.27,514.64
2024-11-18,157.86,329.41,496.82,520.44
2024-11-19,159.82,326.83,494.1,517.78
2024-11-20,157.82,323.1,510.67,522.15
2024-11-21,158.48,324.15,551.1,524.23
2024-11-22,158.66,319.48,540.34,534.17
2024-11-25,156.89,321.55,515.09,533.11
2024-11-26,162.99,313.46,513.31,531.38
2024-11-27,164.88,318.47,561.07,531.42
2024-11-28,159.14,320.84,545.45,529.94
2024-11-29,159.72,322.18,577.09,534.37
2024-12-02,157.92,327.09,611.38,525.88
2024-12-03,160.36,335.53,599.53,520.46
2024-12-04,158.18,340.81,611.22,515.02
2024-12-05,157.91,331.55,646.43,520.12
2024-12-06,159.38,325.29,637.74,529.31
2024-12-09,161.88,322.32,633.0,528.89
2024-12-10,158.54,322.54,620.12,528.13
2024-12-11,157.66,325.17,598.46,528.65
2024-12-12,156.4,321.71,584.91,535.02
2024-12-13,154.65,322.71,560.4,530.18
2024-12-16,159.6,319.14,560.84,531.6
2024-12-17,160.79,316.29,545.86,536.99
2024-12-18,157.31,309.72,550.07,539.85
2024-12-19,159.92,305.51,521.0,541.03
2024-12-20,166.08,299.42,526.79,546.66
2024-12-23,169.18,295.12,542.01,532.11
2024-12-24,164.76,299.94,505.63,535.9
2024-12-25,163.41,295.75,512.02,532.52
2024-12-26,167.16,307.84,534.05,522.93
2024-12-27,165.14,310.24,511.93,525.77
2024-12-30,166.49,311.19,542.25,533.24
2024-12-31,168.84,307.27,549.96,532.64
2025-01-01,166.15,310.63,536.47,537.93
2025-01-02,166.03,308.02,535.22,546.89
2025-01-03,156.85,308.68,545.46,554.33
2025-01-06,154.09,320.95,546.68,563.72
2025-01-07,153.46,320.57,556.75,568.1
2025-01-08,150.17,326.28,539.06,568.69
2025-01-09,154.6,322.93,542.01,559.73
2025-01-10,150.8,322.85,515.9,558.49
2025-01-13,149.68,331.7,513.71,553.91
2025-01-14,150.08,328.66,497.67,566.32
2025-01-15,153.99,337.89,484.95,565.46
2025-01-16,150.19,341.62,505.97,566.32
2025-01-17,153.35,338.82,525.25,569.63
2025-01-20,153.43,342.17,536.24,570.03
2025-01-21,150.84,347.34,516.12,580.01
2025-01-22,152.12,350.72,510.29,576.53
2025-01-23,152.71,342.59,531.98,577.82
2025-01-24,151.15,338.94,534.38,573.66
2025-01-27,151.38,337.77,578.86,566.23
2025-01-28,150.41,337.49,586.57,562.9
2025-01-29,150.76,340.76,590.25,562.84
2025-01-30,152.58,341.78,583.72,560.56
2025-01-31,156.95,335.04,586.2,556.81
2025-02-03,153.61,337.07,582.87,549.12
2025-02-04,159.55,340.29,597.11,548.81
2025-02-05,154.2,343.28,616.99,540.69
2025-02-06,153.84,349.03,600.17,544.99
2025-02-07,155.5,353.56,572.89,545.59
2025-02-10,156.32,356.12,537.36,537.78
2025-02-11,154.66,355.85,546.68,536.25
2025-02-12,154.14,347.12,525.97,532.34
2025-02-13,152.86,349.48,487.97,534.2
2025-02-14,151.32,350.68,494.38,541.61
2025-02-17,153.66,352.22,538.76,531.61
2025-02-18,154.68,345.59,538.43,532.37
2025-02-19,152.85,340.08,554.08,531.65
2025-02-20,155.34,345.63,555.43,535.4
2025-02-21,156.24,345.53,553.31,536.7
2025-02-24,158.55,349.2,570.98,532.79
2025-02-25,160.37,349.45,565.04,531.22
2025-02-26,158.09,349.71,570.07,527.12
2025-02-27,156.59,354.8,576.23,533.01
2025-02-28,158.71,352.15,562.82,533.26
2025-03-03,160.48,352.76,582.27,543.72
2025-03-04,160.48,350.4,578.52,543.54
2025-03-05,160.86,348.2,563.34,539.81
2025-03-06,164.58,346.68,573.68,531.78
2025-03-07,162.92,347.94,555.87,522.34
2025-03-10,164.56,345.53,556.19,514.21
2025-03-11,164.02,352.25,555.79,515.73
2025-03-12,163.45,347.62,576.87,518.52
2025-03-13,166.7,346.74,586.2,510.46
2025-03-14,169.2,344.54,585.46,515.22
2025-03-17,171.7,352.26,602.04,512.86
2025-03-18,175.75,353.4,631.49,513.75
2025-03-19,175.87,359.06,643.56,522.31
2025-03-20,178.06,351.19,643.53,527.19
2025-03-21,177.15,352.71,614.69,525.91
2025-03-24,178.22,357.58,592.18,521.34
2025-03-25,177.87,358.13,585.71,510.29
2025-03-26,178.23,364.05,573.25,506.74
2025-03-27,180.17,361.31,569.32,505.8
2025-03-28,177.64,369.2,570.2,500.93
2025-03-31,184.38,382.37,580.53,500.4
2025-04-01,181.19,380.38,578.88,500.92
2025-04-02,177.41,377.93,588.49,499.92
2025-04-03,181.13,386.44,589.57,496.79
2025-04-04,183.74,395.89,550.34,497.76
2025-04-07,185.83,392.89,532.51,500.12
2025-04-08,187.96,390.51,529.64,494.79
2025-04-09,187.98,388.96,507.7,502.01
2025-04-10,185.09,381.24,518.15,501.64
2025-04-11,185.4,376.09,546.16,501.87
2025-04-14,183.25,370.53,569.48,505.6
2025-04-15,186.49,366.35,565.06,506.93
2025-04-16,186.07,366.26,594.77,511.95
2025-04-17,183.44,367.67,597.6,513.58
2025-04-18,182.46,376.49,590.43,510.55
2025-04-21,183.85,370.96,577.78,512.55
2025-04-22,182.09,376.63,571.53,506.81
2025-04-23,179.53,375.52,563.67,507.5
2025-04-24,180.36,375.34,566.78,507.47
2025-04-25,181.2,379.3,569.71,506.54
2025-04-28,179.64,373.02,569.54,506.02
2025-04-29,178.21,375.29,578.0,496.64
2025-04-30,179.0,376.34,602.1,494.04
2025-05-01,174.54,379.26,621.98,494.63
2025-05-02,170.32,381.03,590.56,495.56
2025-05-05,168.23,395.55,540.33,490.58
2025-05-06,167.65,391.87,557.88,497.02
2025-05-07,168.63,388.84,531.86,492.83
2025-05-08,173.13,385.31,527.53,497.8
2025-05-09,175.82,382.19,506.36,500.08
2025-05-12,175.38,378.63,475.53,496.97
2025-05-13,175.38,385.61,484.34,506.07
2025-05-14,172.36,394.09,497.04,500.15
2025-05-15,172.36,390.82,487.02,504.94
2025-05-16,171.54,386.04,445.03,510.2
2025-05-19,172.58,388.91,436.51,506.9
2025-05-20,170.13,385.78,442.29,514.2
2025-05-21,171.75,389.6,420.03,513.04
2025-05-22,176.51,390.91,422.54,514.67
2025-05-23,176.23,382.16,422.15,516.16
2025-05-26,177.54,391.32,430.53,515.6
2025-05-27,179.77,402.2,432.15,519.97
2025-05-28,178.56,398.61,417.65,524.29
2025-05-29,179.33,396.39,435.16,515.26
2025-05-30,179.43,398.22,432.6,522.22
2025-06-02,179.79,400.35,432.02,513.68
2025-06-03,177.41,404.47,418.1,519.19
2025-06-04,177.55,417.07,411.56,525.26
2025-06-05,179.17,416.07,398.98,519.66
2025-06-06,183.88,411.2,396.44,517.65
2025-06-09,187.07,402.83,420.49,512.05
2025-06-10,194.38,398.51,400.81,511.08
2025-06-11,191.83,398.43,378.86,509.63
2025-06-12,194.86,409.5,398.52,513.79
2025-06-13,195.56,406.42,395.48,520.76
2025-06-16,203.32,407.91,386.26,528.27
2025-06-17,200.51,407.93,400.27,525.43
2025-06-18,197.62,415.44,391.8,524.46
2025-06-19,195.61,431.74,417.22,515.78
2025-06-20,188.48,428.41,426.97,511.74
2025-06-23,186.8,425.37,419.64,516.88
2025-06-24,184.37,432.26,452.03,525.5
2025-06-25,184.92,436.87,442.46,519.15
2025-06-26,186.1,449.36,453.8,516.19
2025-06-27,192.42,453.47,458.35,516.19
2025-06-30,195.74,451.15,479.3,517.79
2025-07-01,193.82,455.32,505.74,513.72
2025-07-02,190.83,463.15,506.1,516.06
2025-07-03,192.56,469.06,492.86,513.74
2025-07-04,188.18,472.81,500.58,513.8
2025-07-07,194.43,480.63,488.76,516.77
2025-07-08,198.58,489.34,523.87,516.94
2025-07-09,197.0,499.81,526.14,514.81
2025-07-10,191.2,504.88,519.31,514.38
2025-07-11,195.88,503.75,522.44,514.06
2025-07-14,195.55,505.01,498.41,512.28
2025-07-15,199.93,514.45,481.72,511.08
2025-07-16,194.45,508.28,501.98,519.52
2025-07-17,192.47,511.27,490.48,522.61
2025-07-18,192.55,508.38,472.82,521.19
2025-07-21,192.77,508.74,481.5,525.01
2025-07-22,191.3,518.82,501.49,523.38
2025-07-23,193.48,520.47,513.93,529.75
2025-07-24,189.93,520.98,531.77,531.87
2025-07-25,189.52,510.52,517.8,531.44
2025-07-28,189.98,516.46,492.71,533.98
2025-07-29,191.77,521.67,518.81,525.74
2025-07-30,194.26,539.17,512.83,519.94
2025-07-31,190.5,536.82,508.19,513.85
2025-08-01,185.48,538.75,531.91,514.73
2025-08-04,189.76,540.94,542.04,523.94
2025-08-05,190.94,554.15,550.45,536.0
2025-08-06,188.5,553.51,593.09,539.6
2025-08-07,193.79,556.01,579.78,542.48
2025-08-08,194.25,561.3,598.48,532.86
2025-08-11,198.39,563.04,599.42,530.1
2025-08-12,198.69,559.42,604.78,526.04
2025-08-13,206.11,561.22,637.42,522.9
2025-08-14,212.66,570.56,648.47,522.15
2025-08-15,211.8,561.93,660.41,519.81
2025-08-18,215.53,563.22,685.14,509.68
2025-08-19,218.07,557.45,676.26,513.68
2025-08-20,223.47,567.78,656.62,508.29
2025-08-21,219.77,555.01,633.02,509.65
2025-08-22,222.51,550.49,591.09,520.56
2025-08-25,226.78,553.8,634.48,515.89
2025-08-26,219.92,567.22,610.44,503.04
2025-08-27,215.45,566.82,605.54,501.72
2025-08-28,207.9,562.24,599.52,507.46
2025-08-29,206.98,578.62,605.69,517.71
2025-09-01,209.69,566.25,622.8,511.47
2025-09-02,215.39,547.89,641.39,514.17
2025-09-03,215.74,551.71,628.31,511.9
2025-09-04,222.1,547.69,624.44,511.49
2025-09-05,216.83,539.45,630.33,525.45
2025-09-08,210.48,545.41,624.67,517.69
2025-09-09,210.34,547.58,660.18,519.15
2025-09-10,211.83,543.08,671.23,521.75
2025-09-11,211.78,532.82,688.27,527.63
2025-09-12,204.26,540.05,703.97,528.29
2025-09-15,204.01,545.54,732.89,530.07
2025-09-16,199.43,544.88,737.2,528.13
2025-09-17,201.86,560.46,704.53,529.7
2025-09-18,203.24,551.62,714.07,528.01
2025-09-19,199.96,539.2,697.85,531.47
2025-09-22,198.22,533.74,684.91,529.64
2025-09-23,194.61,533.52,698.69,531.8
2025-09-24,194.46,535.64,729.02,531.78
2025-09-25,197.83,533.84,729.27,538.0
2025-09-26,194.48,536.84,736.82,537.86
2025-09-29,196.28,526.93,781.27,528.47
2025-09-30,194.52,538.71,787.49,535.38
2025-10-01,191.88,538.19,861.43,530.66
2025-10-02,191.58,547.51,878.12,527.31
2025-10-03,188.17,550.51,825.82,524.3
2025-10-06,186.4,554.48,847.32,531.75
2025-10-07,182.56,559.44,858.24,520.57
2025-10-08,189.06,563.4,897.1,537.44
2025-10-09,189.24,569.06,917.9,543.33
2025-10-10,186.98,580.78,913.14,544.7
2025-10-13,187.74,582.67,874.86,544.55
2025-10-14,187.43,589.11,868.2,546.26
2025-10-15,186.76,588.48,842.65,549.28
2025-10-16,188.86,601.6,825.54,553.02
2025-10-17,191.46,595.65,842.21,556.27
2025-10-20,189.74,612.27,892.02,556.92
2025-10-21,187.88,612.07,903.93,555.96
2025-10-22,187.03,599.14,866.9,555.26
2025-10-23,179.65,600.47,880.0,554.32
2025-10-24,174.97,594.49,916.88,560.84
2025-10-27,179.29,602.26,897.36,564.36
2025-10-28,184.63,596.52,892.84,548.02
2025-10-29,183.88,592.67,892.94,551.8
2025-10-30,185.82,576.14,868.63,553.04
2025-10-31,186.9,572.38,888.01,553.08
2025-11-03,197.4,551.94,883.94,551.07
2025-11-04,201.4,539.03,896.52,557.49
2025-11-05,201.01,545.42,869.02,562.99
2025-11-06,197.71,552.09,855.61,558.77
2025-11-07,192.25,555.81,876.94,561.22
2025-11-10,193.0,547.9,865.34,555.9
2025-11-11,190.51,547.66,918.32,548.37
2025-11-12,185.85,547.79,905.33,545.06
2025-11-13,183.8,538.43,912.04,549.97
2025-11-14,180.38,550.96,941.61,555.42
2025-11-17,185.89,558.48,896.1,558.45
2025-11-18,188.86,556.77,842.73,562.7
2025-11-19,188.9,557.16,799.02,565.78
2025-11-20,193.96,559.07,834.41,562.29
2025-11-21,194.28,542.23,818.28,564.89
2025-11-24,191.42,540.36,893.76,569.62
2025-11-25,196.69,534.97,876.1,574.12
2025-11-26,198.63,527.08,881.37,581.19
2025-11-27,195.1,524.99,929.37,585.51
2025-11-28,194.5,539.61,995.86,587.75
2025-12-01,191.58,545.02,1069.16,594.28
